"ID","SUBJECT","CONTENT","LANEID","CREATEDID","CREATEDATE","TRASHED","TOID","FROMID","UUID","OWNERID","X","Y","COLORTYPE"
"19","複数のボードに対応させる",,"1",,"2008-11-17 19:07:59.302","FALSE",,,"94a8be27-576d-49d0-bb09-9275edb2e439",,"624","97","2"
"20","ストレージのパスをアプリケーションから分かるようにする",,"1",,"2008-11-17 19:08:21.195","FALSE",,,"fa377c47-0f4b-49da-9d91-d5431d00c602",,"617","188","2"
"21","ログ出力方法について調査する",,"1",,"2008-11-17 19:09:55.095","FALSE",,,"f4deab80-7177-42e3-9b2d-89bc67040dd4",,"593","285","2"
"22","ユーザーからのコメントをカードに関連付ける",,"1",,"2008-11-17 19:10:56.549","FALSE",,,"52019c5e-ee8d-4938-b68e-48dab071a728",,"434","394","2"
"23","カード同士の関連を見えるようにする",,"1",,"2008-11-17 19:11:15.703","FALSE",,,"223d3ad6-1549-4ed4-84bc-04c10d6b5407",,"309","415","2"
"24","ボードのテンプレートを作成する",,"1",,"2008-11-17 19:11:32.824","FALSE",,,"f56b5ad2-943d-4914-96ad-878d3f0e35fc",,"54","429","2"
"25","カードのサマリ、一覧を見やすい形で表有為する",,"1",,"2008-11-17 19:12:35.577","FALSE",,,"81babc9c-aa25-4043-97d4-8c9d1ffa60f8",,"539","463","2"
"26","見積りのアイコン欲しい",,"1",,"2008-11-17 19:15:09.592","FALSE",,,"9d271660-f6f7-4560-933e-71799793ab42",,"185","422","2"
"27","エリア
の上でカードを作成出きるようにする",,"1",,"2008-11-18 13:06:17.828","FALSE",,,"db745670-3bbf-4b69-8bbf-7fb3fc4b80fc",,"202","472","2"
"28","ヘルプを作成する",,"1",,"2008-11-18 13:08:51.206","FALSE",,,"136ed76b-a84a-4218-9dfe-bf9ad0b29702",,"24","298","2"
"29","無線LANの設定メモを作成する",,"3",,"2008-11-18 13:11:04.745","FALSE",,,"e3ea23b6-5e62-43d5-a202-d33a4e581e6c",,"3","-2","5"
"30","背景やメニューを透明にする",,"1",,"2008-11-18 13:30:44.983","FALSE",,,"8a29d63f-8dde-43ed-b33e-f8ca564083e6",,"190","306","2"
"31","カードの整列",,"1",,"2008-11-18 13:31:07.723","FALSE",,,"10b70ec3-f7dd-4647-b675-63d837be7644",,"400","434","2"
"32","カードの印刷、画像出力",,"1",,"2008-11-18 13:31:18.74","FALSE",,,"71058834-cc38-46a8-8c2f-4ac397a4abb9",,"318","481","2"
"33","カードにタグをつけられるようにする",,"1",,"2008-11-18 13:31:53.738","FALSE",,,"ebd2137b-08fb-43cc-8dfd-5bb1f38f008a",,"10","492","2"
"34","テストコードを改善する",,"1",,"2008-11-18 13:32:08.98","FALSE",,,"3f8b8db9-6516-414d-98d9-30b8a208e79e",,"568","419","2"
